transcript,category
"Hello, bhaiya main Swiggy se bol raha hoon. Aapka address nahi mil raha hai, Landmark kya hai? Gate ke paas aa gaya hoon.",DELIVERY
"Namaste, main ICICI Bank se baat kar rahi hoon. Aapka credit card dispatch ho gaya hai, address confirm kar lijiye.",BANK
"Beta main Mausaji bol raha hoon, naya number save kar lo. Ghar pe sab kaise hain? Mummy se baat karao.",FAMILY
"Congratulations! Your mobile number has won a lottery of 25 lakhs. Send your bank details to claim the reward immediately.",SCAM
"Good morning sir, looking for investment property in Gurgaon? We have a new launch with 10 percent assured return.",TELEMARKETER
"Main Dr. Sharma ke clinic se bol raha hoon. Aapka 4:30 PM ka appointment confirm hai, please time pe pahuch jana.",MEDICAL
"Namaste, main Income Tax department se bol raha hoon. Aapke refund process ke liye ek query hai, please portal check karein.",GOVERNMENT
"Bhaiya main Amazon delivery wala, aapke gate pe hoon. OTP bata dijiye parcel dena hai.",DELIVERY
"Aapka Bijli bill pay nahi hua hai, aaj raat 10 baje connection cut jayega. Turant is link pe click karke pay karein.",SCAM
"Hello, this is HDFC personal loan department. You are eligible for a pre-approved loan of 5 lakhs with low interest.",BANK
"Arre main Pinky ki mummy bol rahi hoon, ye mera naya number hai. Sabko de dena, purana wala band ho gaya hai.",FAMILY
"Sir, do you need life insurance? We have a special plan for senior citizens with tax benefits under 80C.",TELEMARKETER
"Aapki blood report ready hai sir. Aap online download kar sakte hain ya lab se collect kar lijiye.",MEDICAL
"This is an automated call from the Passport Office. Your application has been processed and dispatched via Speed Post.",GOVERNMENT
"Zomato delivery boy here. Sir main location pe hoon, aap please bahar aa jaiye. Khana thanda ho raha hai.",DELIVERY
"Main RBI se bol raha hoon, aapka account block hone wala hai. KYC update ke liye apna card number aur expiry bataiye.",SCAM
"Ji main Flipkart se bol raha hoon, aapka mobile delivery ke liye nikla hai. Kya aap ghar pe available hain?",DELIVERY
"Hello beta, main Chacha ji bol raha hoon. Phone kharab ho gaya tha toh naya liya hai, number note kar lo.",FAMILY
"Sir, main SBI se baat kar raha hoon. Aapke reward points expire ho rahe hain, redeem karne ke liye help chahiye?",BANK
"Good afternoon, looking for a personal loan or credit card? We have the best rates in the market right now.",TELEMARKETER
"Aapka Apollo hospital ka bill pending hai. Please pharmacy counter pe jaake clear kar dijiye.",MEDICAL
"Namaste, main Gram Panchayat office se bol raha hoon. Aapka Aadhar link process complete ho gaya hai.",GOVERNMENT
"Hello main Mumbai Police se bol raha hoon. Aapke naam pe ek illegal parcel pakda gaya hai, digital arrest kiya jata hai.",SCAM
"Sir main Zepto delivery partner. Building ke neeche hoon, lift kaam nahi kar rahi, aap please gate pe aa sakte hain?",DELIVERY
"Beta, main Bua bol rahi hoon. Naya phone liya hai isliye naya number hai. Sabko bata dena.",FAMILY
"This is Axis Bank fraud department. We noticed a suspicious transaction of 50,000. Please confirm if it was you.",BANK
"Hello sir, calling from Tata AIG. Is your car insurance expiring this month? We can offer a heavy discount.",TELEMARKETER
"Aapka MRI report taiyar hai. Doctor se consult karne ke liye kal subah 10 baje aa jaiye.",MEDICAL
"Hello, this is the Ministry of Health. This is a reminder for your booster dose vaccination. Please visit nearest center.",GOVERNMENT
"Aapke bank account mein suspicious activity hai. CBI officer bol raha hoon, call disconnect mat karna varna arrest ho jaoge.",SCAM
"Sir main Myntra se aaya hoon. Aapka exchange order hai, purana item ready rakhiye please.",DELIVERY
"Main Kotak bank se bol raha hoon. Aapka cheque bounce hua hai, please branch visit kijiye urgently.",BANK
"Beta main bade papa bol raha hoon, ye mera office ka naya number hai. Mummy ko bolna call back karein.",FAMILY
"Do you want a lifetime free credit card? No joining fee and 5 percent cashback on all online shopping.",TELEMARKETER
"Hello, Max Lab se bol rahe hain. Technician ghar pe kab aaye sample collect karne ke liye?",MEDICAL
"Namaste, main Election Commission se bol raha hoon. Voter ID correction ke liye aapka form receive ho gaya hai.",GOVERNMENT
"Aapka parcel scan kiya gaya hai, usme drugs mile hain. NCB officer se baat kijiye varna jail jana padega.",SCAM
"Bhaiya main Blinkit wala, aapka order bahar rakha hai. Please check kar lijiye.",DELIVERY
"Hello, I am calling from LIC. Your policy is about to lapse, please pay the premium by Friday.",TELEMARKETER
"Ma'am, main bank se bol raha hoon. Aapka debit card block ho gaya hai, unblock karne ke liye OTP bataiye.",SCAM
"Beta, main Chhotu mama bol raha hoon. Ye mera naya WhatsApp number hai, ispe hi message karna.",FAMILY
"Good morning, this is HDFC home loan department. Are you interested in transferring your existing loan balance?",BANK
"Sir, aapka X-ray report clear nahi hai. Please dobara aake scan karwana padega, koi extra charge nahi hai.",MEDICAL
"Hello, this is the GST office. There is a discrepancy in your last filing, please check your registered email.",GOVERNMENT
"Bhaiya main Delhivery se bol raha hoon. Aapka address galat hai, kripya sahi location bhej dijiye.",DELIVERY
"Aapka beta accident mein hai, jaldi se 20,000 rupaye is number pe bhejo operation ke liye. Police case nahi karenge.",SCAM
"Main IndusInd bank se bol raha hoon. Aapke account mein KYC pending hai, please document submit kar dijiye.",BANK
"Hello, main Suresh bol raha hoon. Naya number hai mera, save kar lo aur group mein add kar dena.",FAMILY
"Are you interested in a vacation membership? We have a 3 nights 4 days package for just 9999.",TELEMARKETER
"Main Fortis hospital se bol raha hoon. Patient ko discharge kar sakte hain, please papers ready kar lijiye.",MEDICAL
"Namaste, main UIDAI se bol raha hoon. Aapka biometric update successful ho gaya hai. Check status online.",GOVERNMENT
"Bhaiya Amazon parcel hai, security guard mana kar raha hai. Main bahar chhod doon kya?",DELIVERY
"Main Custom department se bol raha hoon. Aapka ek illegal iPhone parcel pakda gaya hai, fine bharna padega.",SCAM
"Hello, calling from Standard Chartered. We have an exclusive credit card offer for premium customers.",BANK
"Beta, main Dadaji bol raha hoon. Naya mobile liya hai, awaaz aa rahi hai meri?",FAMILY
"Sir, do you want to invest in crypto? We provide daily signals and 200 percent profit guarantee.",TELEMARKETER
"Doctor Sahab ke assistant bol rahe hain. Aaj clinic band hai, aapka appointment Monday ko shift kar diya hai.",MEDICAL
"This is a call from the EPFO office. Your PF withdrawal request has been approved and credited.",GOVERNMENT
"Main FedEx se bol raha hoon. Aapka parcel Mumbai airport pe ruka hai, tax pay karne ke liye link pe click karein.",SCAM
"Bhaiya Zomato wala hoon. Barish ho rahi hai thoda late hoga, please bura mat maniye.",DELIVERY
"Main IDFC bank se bol raha hoon. Aapka loan amount disburse ho gaya hai, check your account.",BANK
"Hello, main Sonu bol raha hoon naye number se. Mummy ghar pe hain? Unse baat karwa do.",FAMILY
"Good morning, are you looking for a flat in Bangalore? We have 2BHK starting from 80 lakhs.",TELEMARKETER
"Main Thyrocare se bol raha hoon. Aapka report WhatsApp kar diya hai, check kar lijiye.",MEDICAL
"Namaste, main Nagar Nigam se bol raha hoon. Aapka property tax jama karne ki last date kal hai.",GOVERNMENT
"Aapka sim card block hone wala hai. Please 1 dabayein customer care se baat karne ke liye varna service band ho jayegi.",SCAM
"Sir Flipkart delivery, main gate pe hoon. OTP bata dijiye jaldi.",DELIVERY
"Main Canara bank se bol raha hoon. Aapka naya ATM card branch mein aa gaya hai, collect kar lijiye.",BANK
"Hello, main Rakesh uncle bol raha hoon. Naya number hai mera, note kar lena.",FAMILY
"Sir, are you interested in a health insurance policy for your parents? We have cashless facility available.",TELEMARKETER
"Aapka Covid test negative hai. Certificate download karne ka link bhej diya hai.",MEDICAL
"Hello, this is the Income Tax helpdesk. Your grievance has been resolved, check portal for details.",GOVERNMENT
"Main Delhi Police se bol raha hoon, aapka beta thane mein hai. Chhodne ke liye 50,000 transfer karo turant.",SCAM
"Bhaiya main BlueDart se bol raha hoon. Aapka address lock hai, main kal aau?",DELIVERY
"Hello, calling from RBL Bank. Your credit card limit has been increased, would you like to activate it?",BANK
"Beta main Mausi bol rahi hoon, ye naya number hai. Ghar pe sab thik hain?",FAMILY
"Get a personal loan up to 10 lakhs without any documents. Only on our app, download now.",TELEMARKETER
"Main Dr. Batra ke clinic se bol raha hoon. Aapki dawaiyan dispatch ho gayi hain.",MEDICAL
"Namaste, main Sarpanch office se bol raha hoon. Ration card ke liye photo bhej dijiye.",GOVERNMENT
"Aapka KBC mein 25 lakh ka inaam nikla hai. Processing fee ke liye 5000 jama karo.",SCAM
"Bhaiya main Swiggy delivery, main khana guard ko de raha hoon. Please pick up kar lijiye.",DELIVERY
"Main Yes Bank se bol raha hoon. Aapka naya cheque book request process ho gaya hai.",BANK
"Hello, main Rahul bol raha hoon. Purana number band ho gaya hai, ye naya wala save kar lo.",FAMILY
"Sir, do you need a business loan for your startup? We have low-interest schemes available.",TELEMARKETER
"Aapka dental checkup ka reminder hai. Kal sham 6 baje ka time fixed hai.",MEDICAL
"Hello, this is the Post Office. Your speed post is out for delivery today.",GOVERNMENT
"Main bank manager bol raha hoon, aapka account hack ho gaya hai. Jaldi OTP batao account safe karne ke liye.",SCAM
"Bhaiya main Shadowfax se, aapka parcel deliver karne aaya hoon. Payment cash hai ya online?",DELIVERY
"Main PNB se bol raha hoon. Aapka life certificate submit nahi hua hai, please jaldi kijiye.",BANK
"Beta, main Nana ji bol raha hoon. Naya phone liya hai naya number hai.",FAMILY
"Enjoy unlimited data and calls at just 199 per month. Switch to our network today.",TELEMARKETER
"Main lab se bol raha hoon, aapka report doctor ko bhej diya hai. Unse consult kar lijiye.",MEDICAL
"Namaste, main Jal Board se bol raha hoon. Aapka water bill correction update ho gaya hai.",GOVERNMENT
"Aapke naam pe warrant nikla hai. Court ke chakkar se bachne ke liye 10,000 fine bhariye abhi.",SCAM
"Bhaiya main Ecom Express se. Aapka address mil nahi raha, location share kar do.",DELIVERY
"Main Citibank se bol raha hoon. Aapka monthly statement mail kar diya hai, please check.",BANK
"Hello, main Vineet bol raha hoon. Ye mera personal number hai, purana wala band hai.",FAMILY
"Sir, would you like to open a Demat account? Free trading for first 30 days.",TELEMARKETER
"Main hospital reception se bol rahi hoon. Patient ka blood arrange karna padega, urgent hai.",MEDICAL
"Hello, this is the Transport Department. Your driving license has been renewed and posted.",GOVERNMENT
"Main customer care se bol raha hoon. Aapke phone mein virus hai, jaldi ye app download karo control lene ke liye.",SCAM
"Bhaiya main Dunzo se. Aapka item pick up ho gaya hai, 10 minute mein pahunch raha hoon.",DELIVERY
"Main Union Bank se bol raha hoon. Aapka gold loan interest pending hai, please pay kijiye.",BANK
"Beta main Taiji bol rahi hoon, naya number save kar lo. Ghar kab aa rahe ho?",FAMILY
"Sir, low cost home insurance plan chahiye? Aapka ghar safe rahega fire aur theft se.",TELEMARKETER
"Aapki surgery ke liye date fix ho gayi hai. Kal admission ke liye 9 baje aa jayein.",MEDICAL
"Namaste, main Aadhar Kendra se bol raha hoon. Aapka address update reject ho gaya hai.",GOVERNMENT
"Main bank security se bol raha hoon. Aapka transaction fail hua hai, paise wapas lene ke liye link pe click karein.",SCAM
"Bhaiya main Amazon delivery, aapka bell bajaya koi nahi aaya. Bahar chhod doon?",DELIVERY
"Main Federal Bank se bol raha hoon. Aapka KYC document expire ho gaya hai, branch aaiye.",BANK
"Hello, main Sameer bol raha hoon. Naya number hai, purana delete kar dena.",FAMILY
"Sir, do you want to join our gym? 50 percent discount for the first 10 members today.",TELEMARKETER
"Main chemist bol raha hoon. Aapki medicines ready hain, delivery bhijwa doon?",MEDICAL
"Hello, this is the Department of Telecom. Your mobile connection will be disconnected in 2 hours for illegal activity.",SCAM
"Namaste, main BBMP office se bol raha hoon. Aapka trade license renew ho gaya hai.",GOVERNMENT
"Bhaiya main Flipkart wala, aapka order cancel karna hai toh OTP bataiye.",SCAM
"Sir main Zomato partner, restaurant band hai. Kya order cancel kar doon?",DELIVERY
"Main Bank of Baroda se bol raha hoon. Aapka FD mature ho gaya hai, kya karna hai?",BANK
"Hello, main Jija ji bol raha hoon. Naya number save kar lo, kal milte hain.",FAMILY
"Sir, upgrade your internet plan to fiber and get 100 Mbps speed at same price.",TELEMARKETER
"Main Dr. Mehta ke yahan se. Aapka blood pressure checkup ka timing 5 baje hai.",MEDICAL
"Hello, this is the Electricity Board. Planned power cut in your area tomorrow from 10 AM to 2 PM.",GOVERNMENT
"Main CBI officer bol raha hoon. Aapka bank account money laundering mein use hua hai, turant details share karein.",SCAM
"Bhaiya main Swiggy delivery, aapka order kisi aur ko deliver ho gaya galti se.",DELIVERY
"Main UCO Bank se bol raha hoon. Aapka ATM pin change request receive hua hai.",BANK
"Beta main nani bol rahi hoon, naya number hai ye. Mummy ko bolna baat kare.",FAMILY
"Get a chance to win a free iPhone. Just participate in our short survey now.",TELEMARKETER
"Main eye clinic se bol raha hoon. Aapka chashma ready hai, aake le lijiye.",MEDICAL
"Namaste, main RTO office se bol raha hoon. Aapki RC book dispatch ho gayi hai.",GOVERNMENT
"Main bank head office se bol raha hoon. Aapka account verify karna hai, apna password bataiye.",SCAM
"Bhaiya main Amazon, aapka parcel baarish mein bheeg gaya hai. Kya karoon?",DELIVERY
"Main South Indian Bank se bol raha hoon. Aapka account dormant ho gaya hai, activate karein.",BANK
"Hello, main Chachi bol rahi hoon. Naya number hai, save kar lena.",FAMILY
"Sir, do you want a credit card with no annual fee? We are giving it to select customers.",TELEMARKETER
"Main pathology lab se bol raha hoon. Aapki reports email kar di hain.",MEDICAL
"Hello, this is the PMO office call center regarding your grievance. Is the issue resolved?",GOVERNMENT
"Main FedEx se bol raha hoon. Aapke parcel mein drugs mile hain, legal action se bachne ke liye paise do.",SCAM
"Bhaiya main Flipkart, aapke area mein traffic hai, 20 minute lagega pahunchne mein.",DELIVERY
"Main Central Bank se bol raha hoon. Aapka loan application reject ho gaya hai.",BANK
"Hello, main Amit bol raha hoon. Ye mera naya official number hai, save kar lo.",FAMILY
"Sir, become a member of our club and get free access to 500+ hotels across India.",TELEMARKETER
"Main nurse bol rahi hoon hospital se. Aapki dawai badal di hai doctor ne, note kijiye.",MEDICAL
"Namaste, main MCD office se bol raha hoon. Aapka death certificate ready hai.",GOVERNMENT
"Main RBI manager bol raha hoon. Aapka account freeze ho gaya hai, unfreeze ke liye card scan karke bhejo.",SCAM
"Bhaiya main Blinkit wala, aapka order guard ke paas hai.",DELIVERY
"Main Karur Vysya Bank se bol raha hoon. Aapka nomination update pending hai.",BANK
"Beta, main bhabhi bol rahi hoon. Naya number hai ye, note kar lo.",FAMILY
"Sir, would you like to switch to a prepaid smart meter? Save up to 20 percent on bills.",TELEMARKETER
"Main radiology se bol raha hoon. Aapka CT scan report kal milega.",MEDICAL
"Hello, this is the Indian Railways. Your train has been rescheduled by 2 hours.",GOVERNMENT
"Main police station se bol raha hoon. Aapka mobile chori ka mila hai, lene ke liye 2000 rupaye court fee bhariye.",SCAM
"Bhaiya main Zepto, aapka address search kar raha hoon, location bhej do.",DELIVERY
"Main DBS bank se bol raha hoon. Aapka international transaction block kar diya hai.",BANK
"Hello, main Sonu ka dost bol raha hoon naye number se. Sonu hai kya?",FAMILY
"Sir, get the latest Samsung S24 at 50 percent off in our festive sale.",TELEMARKETER
"Main hospital billing se bol raha hoon. Aapka refund amount ready hai.",MEDICAL
"Namaste, main Jan Sewa Kendra se bol raha hoon. Aapka pension document submit ho gaya hai.",GOVERNMENT
"Main Amazon office se bol raha hoon. Aapka account delete ho jayega agar aapne KYC link nahi kiya abhi.",SCAM
"Bhaiya main Delhivery, aapka parcel pickup karna hai, kya timing rakhu?",DELIVERY
"Main Karnataka Bank se bol raha hoon. Aapka KYC update message aaya hoga, ignore mat kijiye.",BANK
"Beta, main Foofa ji bol raha hoon. Naya number hai, save kar lo.",FAMILY
"Do you want to double your money in 6 months? Join our investment scheme today.",TELEMARKETER
"Main skin clinic se bol raha hoon. Aapka appointment 11 baje hai.",MEDICAL
"Hello, this is the EPFO office. Please check your UAN portal for latest update.",GOVERNMENT
"Main bank se bol raha hoon. Aapke account se 1 lakh nikal rahe hain, cancel karne ke liye OTP do.",SCAM
"Bhaiya main Swiggy, shop band hai, order cancel kar do please.",DELIVERY
"Main Bandhan Bank se bol raha hoon. Aapka account opening kit deliver ho gaya hai.",BANK
"Hello, main Deepu bol raha hoon. Naya phone liya hai naya number hai.",FAMILY
"Sir, are you interested in a professional digital marketing course? Online classes available.",TELEMARKETER
"Main cardio department se bol raha hoon. Aapka stress test kal subah hai.",MEDICAL
"Namaste, main Housing Board se bol raha hoon. Aapki allotment list check kijiye.",GOVERNMENT
"Main courier company se bol raha hoon. Aapka gift ruka hai, 500 rupaye delivery charges pay kijiye.",SCAM
"Bhaiya main Amazon, aapka parcel padosi ko de diya hai.",DELIVERY
"Main HSBC bank se bol raha hoon. Aapka credit card payment due hai.",BANK
"Beta, main Di bol rahi hoon. Naya number hai mera, save kar lo.",FAMILY
"Sir, join our premium trading group on Telegram for 100 percent profit calls.",TELEMARKETER
"Main physio clinic se bol raha hoon. Aaj session cancel hai, doctor bahar gaye hain.",MEDICAL
"Hello, this is the Ministry of External Affairs. Your passport query is resolved.",GOVERNMENT
"Main bank manager bol raha hoon. Aapka account suspend ho gaya hai, jaldi ye link open karein.",SCAM
"Bhaiya main Zomato, parking nahi mil rahi, aap niche aa jao.",DELIVERY
"Main Saraswat Bank se bol raha hoon. Aapka interest rate reduce hua hai.",BANK
"Hello, main Bunty bol raha hoon. Naya number hai, purana band hai.",FAMILY
"Sir, get a personal loan at 8 percent interest rate. No hidden charges.",TELEMARKETER
"Main diagnostic center se bol raha hoon. Aapki urine report normal hai.",MEDICAL
"Namaste, main Income Tax Department se bol raha hoon. Refund credit ho gaya hai.",GOVERNMENT
"Main Police department se bol raha hoon. Aapka card illegal activities mein use ho raha hai, surrender karo.",SCAM
"Bhaiya main Flipkart, aapka parcel courier office se le lo, main nahi aa sakta.",DELIVERY
"Main IDBI bank se bol raha hoon. Aapka naya debit card apply ho gaya hai.",BANK
"Beta, main Mausa ji bol raha hoon. Ye naya number save kar lo.",FAMILY
"Sir, buy a plots in North Bangalore. High appreciation expected in 2 years.",TELEMARKETER
"Main hospital nursing station se. Patient ko pain killer de di hai.",MEDICAL
"Hello, this is the Electricity Department. Your meter reading is due today.",GOVERNMENT
"Main RBI assistant governor bol raha hoon. Aapka fund hold pe hai, release karne ke liye bribe mat do par 10k tax do.",SCAM
"Bhaiya main Swiggy, aapka address Google maps pe galat dikha raha hai.",DELIVERY
"Main Federal Bank se bol raha hoon. Aapka credit card upgrade ready hai.",BANK
"Hello, main Rohan bol raha hoon. Naya number hai, ghar pe sab kaise hain?",FAMILY
"Sir, take a health insurance for your whole family at just 500 per month.",TELEMARKETER
"Main dental clinic se bol raha hoon. Kal ka cleaning appointment confirm karein.",MEDICAL
"Namaste, main Municipal Corporation se bol raha hoon. Aapka birth certificate print ho gaya hai.",GOVERNMENT
"Main bank security se bol raha hoon. Aapka phone hacked hai, jaldi screen share karo screen share app se.",SCAM
"Bhaiya main Amazon, aapka gate lock hai, kya karoon?",DELIVERY
"Main ICICI bank se bol raha hoon. Aapka home loan interest rate update hua hai.",BANK
"Beta, main bade mummy bol rahi hoon. Naya number save kar lena.",FAMILY
"Sir, start your SIP today with just 500 rupees. Best time to invest.",TELEMARKETER
"Main lab se bol raha hoon. Aapki sugar report high hai, doctor ko dikha lijiye.",MEDICAL
"Hello, this is the GST portal helpdesk. Your GSTIN has been activated.",GOVERNMENT
"Main custom officer bol raha hoon Mumbai airport se. Aapka parcel chhudane ke liye duty bhariye.",SCAM
"Bhaiya main Zomato, main restaurant pe khada hoon 20 minute se, order late hoga.",DELIVERY
"Main SBI bank se bol raha hoon. Aapka cheque book dispatch ho gaya hai.",BANK
"Hello, main Vicky bol raha hoon. Naya number hai, identify kiya?",FAMILY
"Sir, looking for a job? We have vacancies in top MNCs with high salary.",TELEMARKETER
"Main hospital pharmacy se bol raha hoon. Aapki dawaiyan khatam hain, order karein?",MEDICAL
"Namaste, main Pension Vibhag se bol raha hoon. Aapka Jeevan Pramaan Patra update ho gaya hai.",GOVERNMENT
"Main bank head office se. Aapka ATM pin leak ho gaya hai, turant change karne ke liye mujhe purana wala batayein.",SCAM
"Bhaiya main Blinkit, bag fat gaya hai, doosra la raha hoon.",DELIVERY
"Main HDFC bank se bol raha hoon. Aapka credit card statement ready hai.",BANK
"Beta, main Sasur ji bol raha hoon. Naya mobile liya hai isliye naya number hai.",FAMILY
"Sir, get a free credit score check. Just click on this link and enter Aadhar.",TELEMARKETER
"Main Dr. Khan ke clinic se. Aapki surgery kal schedule hai.",MEDICAL
"Hello, this is the Food Safety Department. Your license renewal is successful.",GOVERNMENT
"Main customer care agent bol raha hoon. Aapka internet slow hai toh remote access do fix karne ke liye.",SCAM
"Bhaiya main Flipkart, aapka ghar nahi mil raha, main wapas ja raha hoon.",DELIVERY
"Main Axis bank se bol raha hoon. Aapka auto-debit fail hua hai.",BANK
"Hello, main Golu bol raha hoon naye number se. Mummy ko phone do.",FAMILY
"Sir, do you want to book a holiday package for Goa? Flat 30 percent off.",TELEMARKETER
"Main blood bank se bol raha hoon. Aapke patient ke liye unit ready hai.",MEDICAL
"Namaste, main Revenue Department se bol raha hoon. Aapka land record update ho gaya hai.",GOVERNMENT
"Main Mumbai Police se. Aapka internet history illegal hai, fine pay kijiye varna FIR hogi.",SCAM
"Bhaiya main Swiggy, aapka order gir gaya, please cancel kar do.",DELIVERY
"Main PNB se bol raha hoon. Aapka saving account balance low hai.",BANK
"Beta, main bua ka ladka bol raha hoon naye number se.",FAMILY
